"Id","School","Conference"
"2005","Air Force","Mountain West"
"2006","Akron","Mid-American"
"333","Alabama","SEC"
"2026","App State","Sun Belt"
"12","Arizona","Big 12"
"9","Arizona State","Big 12"
"8","Arkansas","SEC"
"2032","Arkansas State","Sun Belt"
"349","Army","American Athletic"
"2","Auburn","SEC"
"2050","Ball State","Mid-American"
"239","Baylor","Big 12"
"68","Boise State","Mountain West"
"103","Boston College","ACC"
"189","Bowling Green","Mid-American"
"2084","Buffalo","Mid-American"
"252","BYU","Big 12"
"25","California","ACC"
"2117","Central Michigan","Mid-American"
"2429","Charlotte","American Athletic"
"2132","Cincinnati","Big 12"
"228","Clemson","ACC"
"324","Coastal Carolina","Sun Belt"
"38","Colorado","Big 12"
"36","Colorado State","Mountain West"
"48","Delaware","Conference USA"
"150","Duke","ACC"
"151","East Carolina","American Athletic"
"2199","Eastern Michigan","Mid-American"
"57","Florida","SEC"
"2226","Florida Atlantic","American Athletic"
"2229","Florida International","Conference USA"
"52","Florida State","ACC"
"278","Fresno State","Mountain West"
"61","Georgia","SEC"
"290","Georgia Southern","Sun Belt"
"2247","Georgia State","Sun Belt"
"59","Georgia Tech","ACC"
"62","Hawai'i","Mountain West"
"248","Houston","Big 12"
"356","Illinois","Big Ten"
"84","Indiana","Big Ten"
"2294","Iowa","Big Ten"
"66","Iowa State","Big 12"
"55","Jacksonville State","Conference USA"
"256","James Madison","Sun Belt"
"2305","Kansas","Big 12"
"2306","Kansas State","Big 12"
"338","Kennesaw State","Conference USA"
"2309","Kent State","Mid-American"
"96","Kentucky","SEC"
"2335","Liberty","Conference USA"
"309","Louisiana","Sun Belt"
"2348","Louisiana Tech","Conference USA"
"97","Louisville","ACC"
"99","LSU","SEC"
"276","Marshall","Sun Belt"
"120","Maryland","Big Ten"
"113","Massachusetts","Mid-American"
"235","Memphis","American Athletic"
"2390","Miami","ACC"
"193","Miami (OH)","Mid-American"
"130","Michigan","Big Ten"
"127","Michigan State","Big Ten"
"2393","Middle Tennessee","Conference USA"
"135","Minnesota","Big Ten"
"344","Mississippi State","SEC"
"142","Missouri","SEC"
"2623","Missouri State","Conference USA"
"2426","Navy","American Athletic"
"152","NC State","ACC"
"158","Nebraska","Big Ten"
"2440","Nevada","Mountain West"
"167","New Mexico","Mountain West"
"166","New Mexico State","Conference USA"
"153","North Carolina","ACC"
"2459","Northern Illinois","Mid-American"
"249","North Texas","American Athletic"
"77","Northwestern","Big Ten"
"87","Notre Dame","FBS Independents"
"195","Ohio","Mid-American"
"194","Ohio State","Big Ten"
"201","Oklahoma","SEC"
"197","Oklahoma State","Big 12"
"295","Old Dominion","Sun Belt"
"145","Ole Miss","SEC"
"2483","Oregon","Big Ten"
"204","Oregon State","Pac-12"
"213","Penn State","Big Ten"
"221","Pittsburgh","ACC"
"2509","Purdue","Big Ten"
"242","Rice","American Athletic"
"164","Rutgers","Big Ten"
"2534","Sam Houston","Conference USA"
"21","San Diego State","Mountain West"
"23","San José State","Mountain West"
"2567","SMU","ACC"
"6","South Alabama","Sun Belt"
"2579","South Carolina","SEC"
"2572","Southern Miss","Sun Belt"
"58","South Florida","American Athletic"
"24","Stanford","ACC"
"183","Syracuse","ACC"
"2628","TCU","Big 12"
"218","Temple","American Athletic"
"2633","Tennessee","SEC"
"251","Texas","SEC"
"245","Texas A&M","SEC"
"326","Texas State","Sun Belt"
"2641","Texas Tech","Big 12"
"2649","Toledo","Mid-American"
"2653","Troy","Sun Belt"
"2655","Tulane","American Athletic"
"202","Tulsa","American Athletic"
"5","UAB","American Athletic"
"2116","UCF","Big 12"
"26","UCLA","Big Ten"
"41","UConn","FBS Independents"
"2433","UL Monroe","Sun Belt"
"2439","UNLV","Mountain West"
"30","USC","Big Ten"
"254","Utah","Big 12"
"328","Utah State","Mountain West"
"2638","UTEP","Conference USA"
"2636","UTSA","American Athletic"
"238","Vanderbilt","SEC"
"258","Virginia","ACC"
"259","Virginia Tech","ACC"
"154","Wake Forest","ACC"
"264","Washington","Big Ten"
"265","Washington State","Pac-12"
"98","Western Kentucky","Conference USA"
"2711","Western Michigan","Mid-American"
"277","West Virginia","Big 12"
"275","Wisconsin","Big Ten"
"2751","Wyoming","Mountain West"
